SALE TYPE,PROPERTY TYPE,PROPERTY ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA MONTH,PROPERTY STATUS,SOURCE_\ URL ,SOURCE,MLS NO,LATITUDE,LONGITUDE
MLS Listing,Condo/Co-op,403 Main St Unit 705N,San Francisco,CA,94105,599000,0,1.0,San Francisco,493,29037,1997,2,548,Active,http://www.redfin.com/CA/San-Francisco/403-Main-St-94105/unit-705N/home/1933601,San Francisco MLS,515267,37.7880767,-122.3896032
MLS Listing,Condo/Co-op,195 7th St #410,San Francisco,CA,94103,420000,0,1.0,San Francisco,341,4500,1991,2,390,Active,http://www.redfin.com/CA/San-Francisco/195-7th-St-94103/unit-410/home/1463334,San Francisco MLS,421515874,37.7782751,-122.4094319
MLS Listing,Single Family Residential,341 San Fernando Way,San Francisco,CA,94127,1795000,5,4.0,San Francisco,2738,4029,1927,2,25,Active,http://www.redfin.com/CA/San-Francisco/341-San-Fernando-Way-94127/home/1884638,San Francisco MLS,421516434,37.731151,-122.4694351
MLS Listing,Single Family Residential,120 Santa Paula Ave,San Francisco,CA,94127,3295000,4,3.5,San Francisco,3596,4460,,2,178,Active,http://www.redfin.com/CA/San-Francisco/120-Santa-Paula-Ave-94127/home/2016730,San Francisco MLS,515820,37.7376437,-122.4634647
MLS Listing,Condo/Co-op,1001 17th St #303,San Francisco,CA,94107,749000,1,1.0,San Francisco,,9426,2016,2,438,Active,http://www.redfin.com/CA/San-Francisco/1001-17th-St-94107/unit-303/home/102135992,San Francisco MLS,513182,37.7650503,-122.3941335
MLS Listing,Condo/Co-op,400 Beale St #1310,San Francisco,CA,94105,798000,1,1.0,San Francisco,669,27581,2001,2,852,Active,http://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-1310/home/12399569,San Francisco MLS,513058,37.7869049,-122.3909202
MLS Listing,Condo/Co-op,517 Vermont St,San Francisco,CA,94107,898000,1,1.0,San Francisco,910,2500,1932,2,210,Active,http://www.redfin.com/CA/San-Francisco/517-Vermont-St-94107/home/40138880,San Francisco MLS,421516528,37.7631516,-122.4041739
MLS Listing,Single Family Residential,50 Liberty St,San Francisco,CA,94110,4995000,4,3.5,San Francisco,,2875,1888,2,,Active,http://www.redfin.com/CA/San-Francisco/50-Liberty-St-94110/home/712438,San Francisco MLS,421516739,37.757881,-122.422301
MLS Listing,Single Family Residential,109 Glenview Dr,San Francisco,CA,94131,1549000,3,2.0,San Francisco,1562,3062,1951,2,,Active,http://www.redfin.com/CA/San-Francisco/109-Glenview-Dr-94131/home/924934,San Francisco MLS,510608,37.7481896,-122.4478629
MLS Listing,Condo/Co-op,2448 Lombard St #409,San Francisco,CA,94123,998000,1,1.0,San Francisco,697,,2020,2,595,Active,http://www.redfin.com/CA/San-Francisco/2448-Lombard-St-94123/unit-409/home/174364683,San Francisco MLS,421516441,37.7993402,-122.4419772
MLS Listing,Condo/Co-op,1025 Minna St #7,San Francisco,CA,94103,895000,1,2.0,San Francisco,875,3921,2003,2,404,Active,http://www.redfin.com/CA/San-Francisco/1025-Minna-94103/unit-7/home/2063573,San Francisco MLS,513839,37.7734241,-122.4168616
